,,,,99.0% Heating Temperature (˚F),,1.0% Cooling Temperature (˚F) ,,,,Extreme Heat./Cool.,
Station,Lat Long,,Elev,Heating DB,DB / MCWB,Cooling DB/MCWB,,Evaporation WB/MCDB,Dehumidification DP/HR/MCDB,Annual WS Degree-Days,
,,,,,,DB / MCWB DB / MCWB,,WB / MCDB WB / MCDB,DP / HR / MCDB DP / HR / MCDB,1% 2.5% 5% HDD / CDD 65,
United States of America,,,,99.6% 99%,0.40%,1% 2%,,0.4% 1%,0.4% 1%,"541 sites, 544 more on CD-ROM",
Alabama,,,,,,,,,,"11 sites, 3 more on CD-ROM",
AUBURN-OPELIKA APT,32.62N 85.43W,,774,23.7 27.7,93.0 73.5,90.7 73.7 89.5 73.6,,77.4 87.2 76.5 85.7,74.7 133.9 81.3 73.3 127.4 79.8,17.5 15.2 12.8 2383 1859,
BIRMINGHAM MUNICIPAL AP,33.56N 86.75W,,630,19.6 24.0,95.0 75.1,92.6 74.9 90.6 74.6,,78.5 88.4 77.6 87.6,76.1 139.4 82.8 74.9 133.8 81.9,18.3 16.4 14.5 2693 1948,
CAIRNS AAF/OZARK,31.28N 85.72W,,299,26.9 30.3,95.4 76.4,93.4 76.1 91.3 75.6,,80.3 89.6 79.1 88.3,77.8 146.1 83.7 76.8 141.3 82.8,16.9 14.4 12.5 1767 2415,
DOTHAN MUNICIPAL,31.32N 85.45W,,322,27.3 31.1,95.3 76.3,93.2 75.7 91.2 75.4,,80.1 89.3 78.8 87.9,77.5 144.9 83.4 76.7 140.7 82.6,19.2 17.5 15.5 1727 2481,
GADSEN MUNI (AWOS),33.97N 86.08W,,568,18.6 22.1,93.4 74.7,91.2 74.5 89.9 74.3,,78.0 88.8 77.0 87.7,74.9 133.4 83.7 73.3 126.5 82.0,16.7 14.2 12.3 3215 1557,
HUNTSVILLE INTL/JONES FIELD,34.64N 86.79W,,643,17.0 21.6,94.6 75.1,92.2 74.7 90.1 74.2,,78.3 88.1 77.4 87.2,75.8 138.1 82.6 74.6 132.8 81.5,21.5 18.9 17.0 3140 1742,
MAXWELL AFB/MONTGOM,32.38N 86.37W,,174,27.9 31.5,97.2 76.5,95.2 76.6 93.3 76.3,,80.5 90.8 79.6 89.9,78.0 146.3 85.0 77.0 141.3 84.2,18.0 15.6 13.1 1813 2598,
MOBILE REGIONAL AP,30.69N 88.25W,,220,26.9 30.7,93.5 76.7,91.8 76.4 90.3 76.0,,80.1 88.4 79.0 87.0,77.9 146.0 83.4 76.9 141.5 82.4,20.6 18.5 16.8 1662 2463,
MONTGOMERY DANNELLY FIELD,32.30N 86.39W,,203,23.7 27.3,96.2 76.5,94.0 76.1 92.1 75.8,,79.7 90.8 78.5 89.2,76.7 140.3 84.4 75.8 135.8 83.3,18.6 16.5 14.3 2143 2282,
MUSCLE SHOALS REGIONAL AP,34.75N 87.61W,,561,17.8 22.1,95.5 75.4,93.1 75.2 90.9 74.8,,78.7 89.1 77.8 88.2,76.0 138.6 82.9 75.0 134.0 82.0,18.7 16.8 14.6 3084 1822,
TUSCALOOSA MUNICIPAL AP,33.21N 87.62W,,187,20.6 25.0,95.7 76.5,93.4 76.3 91.4 76.0,,79.8 90.2 78.7 88.9,77.1 142.2 83.6 75.9 136.5 82.9,17.5 14.8 13.0 2509 2101,
Alaska,,,,,,,,,,"7 sites, 66 more on CD-ROM",
FAIRBANKS INTL ARPT,64.82N 147.86W,,453,-81.4,81.2 60.9,78.0 59.8 74.6 58.5,,63.0 76.5 61.5 73.9,58.4 74.2 65.1 56.7 69.6 64.1,17.7 15.5 12.6 13528 71,
FT. RICHARDSON/BRYA,61.27N 149.65W,,377,-31.1,73.9 59.7,70.8 58.2 67.8 56.8,,61.1 71.8 59.2 68.7,56.0 67.7 64.2 54.5 64.0 62.1,19.0 14.5 11.5 10726 3,
ANCHORAGE/ELMENDORF,61.25N 149.80W,,194,-49,73.7 58.4,71.2 57.5 68.0 56.2,,60.5 70.2 59.1 67.5,56.9 69.5 61.6 55.2 65.3 60.6,18.8 15.6 12.8 10360 11,
LAKE HOOD SEAPLANE,61.18N 149.96W,,131,-42.7,74.5 59.8,71.4 58.7 68.2 57.1,,61.2 72.0 59.6 68.4,56.8 69.0 62.8 55.3 65.3 62.2,18.7 16.3 13.6 9824 16,
ANCHORAGE INTL AP,61.18N 149.99W,,131,-42.9,71.4 58.7,68.3 57.3 65.9 56.1,,60.3 68.9 58.8 66.1,56.4 68.0 62.6 55.2 65.1 61.4,20.7 18.5 16.6 10121 5,
